name,categories,coordinates
Sasquatch Sandwiches,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.954288482666, 'longitude': -93.1633605957031}"
Fabulous Catering,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 44.9499, 'longitude': -93.25666}"
Cuzzy's Bar & Grill,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.98607, 'longitude': -93.27539}"
Al's Breakfast,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.98101, 'longitude': -93.23565}"
Penny's Coffee,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 44.9812405, 'longitude': -93.2658063}"
Chin Dian Kitchen,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'malaysian', 'title': 'Malaysian'}]","{'latitude': 44.9913124329276, 'longitude': -93.2305800159733}"
Lu's Sandwich NE,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.9899693, 'longitude': -93.2526208}"
Hawaii Poké Bowl,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'poke', 'title': 'Poke'}]","{'latitude': 44.88399, 'longitude': -93.24874}"
Fletcher's Ice Cream,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'waffles', 'title': 'Waffles'}]","{'latitude': 45.00325, 'longitude': -93.27095}"
Mill Valley Market,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.99172, 'longitude': -93.32583}"
Gogi Bros House,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]","{'latitude': 44.8869669935618, 'longitude': -93.4177412028057}"
Elevate Food Hall,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'catering', 'title': 'Caterers'}]","{'latitude': 44.9812405, 'longitude': -93.2658063}"
Teresa's Mexican Restaurant - Golden Valley,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.99768, 'longitude': -93.35151}"
Wyn 65,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9763442456324, 'longitude': -93.270804368316}"
Taco El Primo,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'latitude': 44.948015, 'longitude': -93.2548149}"
Lao Sze Chuan,"[{'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 44.9733558, 'longitude': -93.2272846}"
Mim's Cafe,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]","{'latitude': 44.9844245910645, 'longitude': -93.1876373291016}"
Market Bar-B-Que,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 45.0130028, 'longitude': -93.2650573}"
Grumpy's Bar,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 45.01016, 'longitude': -93.26191}"
Irie Vybz Jamaican Restaurant,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 45.0646175, 'longitude': -93.3082525}"
Doolittles Woodfire Grill,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9852127, 'longitude': -93.379714}"
La Loma Tamales,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9766006469727, 'longitude': -93.2694091796875}"
Adam's Gyros,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.9773, 'longitude': -93.26954}"
Galaxy Food & Video,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'meats', 'title': 'Meat Shops'}]","{'latitude': 44.8734054, 'longitude': -93.2629973}"
Pracna on Main,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.98481, 'longitude': -93.25537}"
Pho Hoa Noodle Soup,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 44.9582142, 'longitude': -93.2780158}"
Arizona Taco Company,"[{'alias': 'tacos', 'title': 'Tacos'}]","{'latitude': 45.02291, 'longitude': -93.39956}"
Iron Door Pub,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9481315612793, 'longitude': -93.2877578735352}"
Masu Sushi & Robata,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 44.9883318186803, 'longitude': -93.2550374451695}"
Bill's Garden Chinese Gourmet,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.926513671875, 'longitude': -93.2317428588867}"
Breakfast Bar,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.98135, 'longitude': -93.2718}"
F+B Popup,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'popuprestaurants', 'title': 'Pop-Up Restaurants'}]","{'latitude': 44.97851, 'longitude': -93.25669}"
Pineda Tacos Plus,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.948541, 'longitude': -93.270848}"
Nacho's Mexican Grill,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.924354, 'longitude': -93.413406}"
Red Dragon,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.96117, 'longitude': -93.28843}"
Great Dragon,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.9632568, 'longitude': -93.2626877}"
Dagwood's,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.9804348, 'longitude': -93.2657382}"
Darbar India Grill,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 44.948343, 'longitude': -93.2947493}"
Captain Crab,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 45.057003, 'longitude': -93.320868}"
Wuollet Bakery,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.948537, 'longitude': -93.290382}"
Riverview Wine Bar,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.93447, 'longitude': -93.21247}"
Sole Café,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 44.96168, 'longitude': -93.1668151}"
Lucy's Market & Carryout,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]","{'latitude': 44.93444, 'longitude': -93.24694}"
Maria's Restaurante,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9482418275991, 'longitude': -93.2529241932801}"
Wasabi Fusion,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","{'latitude': 44.9762275, 'longitude': -93.2556448}"
Qoraxlow Restaurant,"[{'alias': 'somali', 'title': 'Somali'}]","{'latitude': 44.9498252868652, 'longitude': -93.2822036743164}"
Tao Foods,"[{'alias': 'healthmarkets', 'title': 'Health Markets'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.960812, 'longitude': -93.293259}"
Crave American Kitchen & Sushi Bar - Saint Louis Park,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","{'latitude': 44.9677178795297, 'longitude': -93.3476468558042}"
Ginellis Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 44.9765208712413, 'longitude': -93.271502682209}"
Soup For You Cafe!,"[{'alias': 'soup', 'title': 'Soup'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]","{'latitude': 44.962471, 'longitude': -93.235549}"
Caffrey's Deli & Subs,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wraps', 'title': 'Wraps'}, {'alias': 'delis', 'title': 'Delis'}]","{'latitude': 44.947931, 'longitude': -93.288527}"
Cedar Inn,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 44.9271278381348, 'longitude': -93.246940612793}"
Key West Bistro,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.93389, 'longitude': -93.23173}"
Parkway Pizza Longfellow,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.9234153571931, 'longitude': -93.216602280736}"
Banana Blossom,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}]","{'latitude': 45.0132904230466, 'longitude': -93.3016347976179}"
Kinhdo Vietnamese Restaurant,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.95212, 'longitude': -93.29784}"
The Office Pub & Grill,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'pubs', 'title': 'Pubs'}]","{'latitude': 44.9845585984813, 'longitude': -93.273138682413}"
W XYZ Bar,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.97657, 'longitude': -93.255}"
JC's Subs,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'cheesesteaks', 'title': 'Cheesesteaks'}]","{'latitude': 44.9695, 'longitude': -93.35131}"
Sally's Saloon,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]","{'latitude': 44.9735802412033, 'longitude': -93.2285226881504}"
Coalition Restaurant,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.91284, 'longitude': -93.32811}"
Nico's Taco and Tequila Bar,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.95676, 'longitude': -93.29628}"
Bark and the Bite,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 44.948115, 'longitude': -93.192678}"
Blaze Pizza,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'latitude': 44.973501, 'longitude': -93.223282}"
Cuco's Mexican Restaurant,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 45.03644, 'longitude': -93.22768}"
Basil,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.94834, 'longitude': -93.34421}"
Town Hall Lanes,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'bowling', 'title': 'Bowling'}]","{'latitude': 44.911892, 'longitude': -93.222458}"
Soho Cafe,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.95612, 'longitude': -93.29691}"
Daalo Grill,"[{'alias': 'african', 'title': 'African'}]","{'latitude': 44.95396, 'longitude': -93.2778654}"
Gastrotruck,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 45.0122883, 'longitude': -93.2633064}"
Maxwell's Cafe & Grill,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.983875, 'longitude': -93.243711}"
Manning's Restaurant,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]","{'latitude': 44.9878288060427, 'longitude': -93.2213638722897}"
Fresh Wok,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.91927085373, 'longitude': -93.278506788355}"
Galactic Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]","{'latitude': 44.9496574401855, 'longitude': -93.2876663208008}"
Rebel Lobster,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.88546, 'longitude': -93.19931}"
The Living Room,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'lounges', 'title': 'Lounges'}]","{'latitude': 44.97476, 'longitude': -93.272003}"
Mackenzie Pub,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'scottish', 'title': 'Scottish'}]","{'latitude': 44.9763499, 'longitude': -93.27771}"
Sal's on Fifth,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.9797456598687, 'longitude': -93.272697774138}"
Foxtrot Burger Spot,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.9817105252628, 'longitude': -93.162080347538}"
Intown Sushi,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]","{'latitude': 44.9484849, 'longitude': -93.2610135}"
Waffleous,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'waffles', 'title': 'Waffles'}]","{'latitude': 44.948157, 'longitude': -93.268697}"
The Cheesecake Factory,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.8794857198372, 'longitude': -93.3248978695211}"
Lucky Cricket,"[{'alias': 'tikibars', 'title': 'Tiki Bars'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.9674595804244, 'longitude': -93.3475569027192}"
The Bulldog Uptown,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 44.9558899, 'longitude': -93.28761}"
Pickerman's Soup and Sandwich's,"[{'alias': 'soup', 'title': 'Soup'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.9737511, 'longitude': -93.3508606}"
Simply Steve's Mobile Food Truck,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 44.9726333, 'longitude': -93.2743676}"
Shega Foods,"[{'alias': 'herbsandspices', 'title': 'Herbs & Spices'}, {'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'importedfood', 'title': 'Imported Food'}]","{'latitude': 44.962494, 'longitude': -93.241799}"
Skyway Wok,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.980272950929, 'longitude': -93.266150167962}"
OUI Bar + KTCHN,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.9770469, 'longitude': -93.2606222}"
Thai Cuisine Xpress,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 44.9879297652504, 'longitude': -93.2300797797623}"
Hot Indian - Midtown Global Market,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 44.9485289, 'longitude': -93.2607688}"
JJ'S Poke,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'poke', 'title': 'Poke'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.879215, 'longitude': -93.319666}"
Portillo's,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 45.0136747012012, 'longitude': -93.1763297737281}"
Grass Roots Gourmet,"[{'alias': 'cheese', 'title': 'Cheese Shops'}, {'alias': 'meats', 'title': 'Meat Shops'}, {'alias': 'delis', 'title': 'Delis'}]","{'latitude': 44.9484849, 'longitude': -93.2610135}"
Lakes Buffet,"[{'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.88294, 'longitude': -93.27749}"
Gordita el Gordo,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.94805, 'longitude': -93.27365}"
El Nuevo Rodeo Restaurant,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.9481634, 'longitude': -93.232582}"
Capitol Cafe,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.9626447, 'longitude': -93.2369671}"
O'Donovan's Irish Pub,"[{'alias': 'irish', 'title': 'Irish'}]","{'latitude': 44.9786893703105, 'longitude': -93.2763924077153}"
Loon Grocery,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'grocery', 'title': 'Grocery'}]","{'latitude': 44.9571263066744, 'longitude': -93.2876548076345}"
Vegan East,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 45.00074, 'longitude': -93.26641}"
6300 Steakhouse,"[{'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 45.068185, 'longitude': -93.304506}"
SA Tacos,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'latitude': 44.97184, 'longitude': -93.21849}"
Enji,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.9485264394544, 'longitude': -93.2967677001629}"
50's Grill,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 45.055698, 'longitude': -93.323276}"
Breaking Bread Café & Catering,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.99930583, 'longitude': -93.29612883}"
Lyons Pub,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.978663, 'longitude': -93.2727761}"
Carbones Pizzeria - Minneapolis,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]","{'latitude': 44.9177123, 'longitude': -93.2470344}"
BANK Restaurant,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.97765, 'longitude': -93.270257}"
Tavern on France,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.880571, 'longitude': -93.329406931711}"
Sabbai Cuisine,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cambodian', 'title': 'Cambodian'}]","{'latitude': 44.948974, 'longitude': -93.260597}"
Frenchman's,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.88375, 'longitude': -93.255}"
Athens Cafe,"[{'alias': 'greek', 'title': 'Greek'}]","{'latitude': 45.029586, 'longitude': -93.33614}"
Adama Restaurant,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]","{'latitude': 45.0404, 'longitude': -93.24773}"
Andy's Garage,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.948688, 'longitude': -93.2607411}"
Twin Cities 400 Tavern,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 45.00241, 'longitude': -93.213}"
Nordic Waffle,"[{'alias': 'waffles', 'title': 'Waffles'}]","{'latitude': 45.012968727138, 'longitude': -93.1715384608378}"
Café Cairo: Greek And Egyptian Street Food Truck,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'egyptian', 'title': 'Egyptian'}, {'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.9841346740723, 'longitude': -93.2709732055664}"
Berry Sweet Kitchen,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.90504, 'longitude': -93.2233}"
Milda's Café,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.98109, 'longitude': -93.30304}"
J J Fish and Chicken,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]","{'latitude': 44.999706, 'longitude': -93.291862}"
C & G's Smoking Barbecue,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.9163767072985, 'longitude': -93.2777881622314}"
Windows on 4th,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cafeteria', 'title': 'Cafeteria'}]","{'latitude': 44.932382, 'longitude': -93.270108}"
Vesuvio's Mobile Wood Fired Pizza,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.962219479464, 'longitude': -93.2852504345252}"
Dusty's Bar,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]","{'latitude': 45.0007854, 'longitude': -93.270165}"
Sabor Cuencano,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'empanadas', 'title': 'Empanadas'}]","{'latitude': 45.014841, 'longitude': -93.247542}"
Little G's Mobile Pizzeria,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.88557, 'longitude': -93.20006}"
Federal Cafe,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.978247, 'longitude': -93.264702}"
Crossroads Delicatessen,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 44.951946, 'longitude': -93.418604}"
Milwaukee Road,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.9798563, 'longitude': -93.2624599}"
Sorrento Pizza & Pasta,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.976517379571, 'longitude': -93.2699131965637}"
Ichiddo Ramen Dinkytown,"[{'alias': 'ramen', 'title': 'Ramen'}]","{'latitude': 44.97902, 'longitude': -93.23456}"
Good Day Café,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 44.9712942376715, 'longitude': -93.3482167355988}"
Natedogs,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 44.978233, 'longitude': -93.271548}"
Nong's Thai Cuisine,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 45.006653, 'longitude': -93.3979651}"
JOYCE Supper Club,"[{'alias': 'supperclubs', 'title': 'Supper Clubs'}]","{'latitude': 44.98271, 'longitude': -93.27187}"
Pancheros Mexican Grill,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9843900547231, 'longitude': -93.3784960813648}"
Dancing Ganesha,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 44.97427, 'longitude': -93.27892}"
Que Viet Village House Three,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 45.06563, 'longitude': -93.32532}"
Hook Fish & Chicken,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.9482453081281, 'longitude': -93.2824693134912}"
Two Sisters Franklin Terrace Cafe,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'soup', 'title': 'Soup'}]","{'latitude': 44.96344, 'longitude': -93.28043}"
Tru Pizza Truck,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.983334, 'longitude': -93.26667}"
Bay Leaf Indian Cuisine,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 44.8881602491156, 'longitude': -93.4178214125842}"
Bryant Lake Bowl,"[{'alias': 'bowling', 'title': 'Bowling'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.9484814938579, 'longitude': -93.2901369077954}"
Rojo Mexican Grill,"[{'alias': 'soup', 'title': 'Soup'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newmexican', 'title': 'New Mexican Cuisine'}]","{'latitude': 44.9675670869823, 'longitude': -93.347925091166}"
